,Copy,Japanese ,German ,French ,Spanish ,Italian ,Portuguese ,Dutch ,Swedish ,Korean ,Cantonese,Polish,Dutch- Belgium,Danish,German Switzerland,Irish (Gaelic),German Austria,Spanish Mexican,Finnish,Romanian,Czech,Hungarian,Croatia,Bulgaria,Slovenia,Lithuania,Iceland,Estonia,Brazil,Latvia,Norway
Ad 1 ,In case you need some convincing:,気持ちいい声がすべてを物語る。,Falls du noch überzeugt werden ,Si tu as besoin d’un peu plus de conviction :,Por si necesitas una razón más para animarte:,Se hai bisogno di una spintarella...,Se precisares de um empurrãozinho…,Voor het geval je nog twijfelt:,Om du behöver lite övertalning:,확신이 필요하다면:,如果你仲有啲猶豫…,Jeśli jeszcze potrzebujesz przekonania:,Als je nog wat extra overtuiging nodig hebt,Hvis du stadig skal overtales lidt:,Falls du noch etwas Überzeugung brauchst:,Má tá spreagadh breise uait fós:,Falls du noch eine kleine Überzeugung brauchst:,Si todavía necesitas un empujoncito más:,Jos kaipaat vielä pientä vakuuttelua:,Dacă mai ai nevoie de încă puțină convingere:,Pokud ještě potřebuješ trochu přesvědčit:,Ha még szükséged lenne egy kis biztatásra:,Ako ti treba malo uvjeravanja:,Ако имаш нужда от малко убеждаване:,Če potrebuješ malo prepričevanja:,Jei dar reikia įtikinimo:,Ef þú þarft smá sannfæringu:,Kui vajad veel veidi veenmist:,Se ainda precisa de um empurrãozinho:,Ja vēl vajag pārliecināt:,
,"Partner was weak at the
knees after about 5 mins of
trying it",「使い始めて5分で、パートナーの膝がガクガクに！」,"""Mein Partner war nach 5 Minuten komplett weich in den Knien."" ","""Mon partenaire avait les jambes en coton après 5 minutes.""",A tu pareja se le doblaron las rodillas después de 5 minutos de probarlo.,"""Il mio partner aveva già le gambe molli dopo 5 minuti.""",O meu parceiro ficou com as pernas bambas depois de 5 minutos.,Mijn partner stond na vijf minuten al te trillen op z’n benen.,Min partner skakade i knäna efter bara fem minuter.,"5분쯤 써봤는데, 제 파트너는 벌써 다리에 힘이 풀렸어요.",「試咗唔夠五分鐘，我個伴侶已經腳軟晒。」,„Po 5 minutach mój partner ledwo trzymał się na nogach.”,De benen van mijn partner begonnen te trillen na amper 5 minuten gebruik.,Min partner fik helt bløde knæ efter bare 5 minutter.,Die Beine meines Partners waren schon nach 5 Minuten weich wie Butter.,Bhí cosa mo pháirtí ar nós glóthach tar éis 5 nóiméad amháin.,Mein Partner hatte schon nach 5 Minuten weiche Knie.,A mi pareja se le doblaron las piernas en menos de 5 minutos.,Kumppaniltani lähtivät jalat alta jo viidessä minuutissa.,Partenerului meu i s-au înmuiat picioarele după doar 5 minute.,Partnerovi se podlomila kolena už po 5 minutách.,A partneremnek már 5 perc után remegtek a lábai.,Partner(ica) je klecao/la nakon samo 5 minuta.,Партньорът се огъна в коленете след само 5 минути.,Partner je po 5 minutah omagal od užitka.,Partneris/ė vos po 5 minučių jau linko keliai.,Makinn fékk veikar hné eftir aðeins 5 mínútur.,Partner vajus põlvili vähem kui 5 minutiga.,Meu parceiro(a) ficou de joelhos em menos de 5 minutos.,Partneris/-e bija uz ceļiem jau pēc 5 minūtēm.,
,- Scott L.,- スコット・L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,Scott L.,Scott L.,Scott L.,Scott L.,Scott L.,Scott L.,Scott L.,Scott L.,- Scott L.,- Scott L.,– Scott L.,– Скот Л.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Scott L.,– Skots L.,
Ad 2,"Soft moans,",やわらかな吐息と、,"Leises Stöhnen,","Soupirs doux, ","Suspiros suaves,","Gemiti dolci,","Gemidos suaves,","Zachte kreunen,","Mjuka suckar,","부드러운 신음,",輕輕呻吟，,"Ciche westchnienia,","Zachte kreuntjes,","Blide suk,","Sanftes Stöhnen,","Osnaí boga,","Sanftes Stöhnen,","Suspiros suavecitos,","Pehmeitä huokauksia,","Suspinuri delicate,","Jemné vzdechy,","Halk sóhajok,","Tiho stenjanje,","Нежни стенания,","Mehki vzdihi,","Švelnūs aimanavimai,","Mjúk styn,","Õrnad ohked,","Gemidos suaves,","Maigas nopūtas,",
,deep thrills.,深く響く快感。,tiefe ,sensations profondes.,placer profundo.,brividi profondi.,prazeres intensos.,diepe rillingen.,djupa rysningar.,깊고 짜릿한 전율.,深入骨髓嘅快感。,głębokie dreszcze.,diepe sensaties.,dybe vibrationer.,tiefe Vibrationen.,Creathanna domhain.,intensive Gefühle.,sensaciones profundas.,syviä väristyksiä.,senzații profunde.,hluboké vibrace.,mély vibrációk.,duboki užici.,дълбоки тръпки.,globoki užitki.,gili ekstazė.,djúp sæla.,sügavad värinad.,arrepio profundo.,dziļas trīsas.,
Ad 3,Scream. Again and again.,何度でも、叫びたくなる。,Schrei. Immer und immer wieder.,Crie. Encore. Et encore.,Grita. Una y otra vez.,Urla. Ancora e ancora.,Grita. Vez após vez.,Gillen. Keer op keer.,Skrik. Om och om igen.,"비명을 질러요. 또, 또, 또.",喊出聲。再嚟多次都唔夠。,Krzycz. I zrób to znowu.,Je gaat schreeuwen. Keer op keer.,Du kommer til at skrige. Igen og igen.,Du wirst schreien. Immer und immer wieder.,Beidh tú ag screadach. Arís agus arís eile.,Du wirst schreien. Immer und immer wieder.,Vas a gritar. Una y otra vez.,Tulet huutamaan. Uudestaan ja uudestaan.,O să țipi. Din nou și din nou.,Budeš křičet. Znovu a znovu.,Sikítani fogsz. Újra és újra.,Vrišti. Opet i opet.,Крещиш. Отново и отново.,Kričala boš. Znova in znova.,Rėksi. Vėl ir vėl.,Þú munt öskra. Aftur og aftur.,Sa karjud. Ja siis karjud veel.,Você vai gritar. De novo e de novo.,Tu kliegsi. Atkal un atkal.,
Ad 4 & 8 ,So good. You'll scream.,あまりの気持ちよさに、思わず声が漏れる。,"So gut, du wirst ",Tellement bon que tu vas crier.,Tan bueno que vas a gritar.,Talmente intenso che urlerai.,Tão bom que vais gritar.,Zo lekker dat je het uitschreeuwt.,Så skönt att du kommer skrika.,너무 좋아서 소리 안 지를 수가 없어요.,好到忍唔住大叫。,"Tak dobrze, że aż będziesz krzyczeć.",Zo goed dat je het uitschreeuwt.,"Så godt, du skriger højt.","So gut, dass du es laut rausschreist.",Chomh maith sin go mbeidh tú ag screadaíl amach.,"So gut, dass du laut schreien musst.",Tan bueno que no vas a poder evitar gritarlo.,"Niin hyvä, ettet voi olla huutamatta.",Atât de bine încât vei striga de plăcere.,"Tak skvělé, že budeš křičet nahlas.","Annyira jó, hogy muszáj hangosan sikítanod.",Tako dobro. Vrištat ćeš.,Толкова е добро. Ще извикаш.,Tako dobro. Kričala boš.,Taip gera. Tikrai rėksi.,Svo gott. Þú munt öskra.,Nii hea. Sa kindlasti karjud.,Tão bom. Você vai gritar mesmo.,Tik labi. Tu kliegsi noteikti.,
Ad 5 & 6,Regret never screaming.,今まで叫ばなかったこと、きっと後悔する。,"Bereuen? Nur, dass wir nicht früher geschrien ",Le seul regret ? Ne pas avoir crié plus tôt.,Te vas a arrepentir de no haber gritado antes.,Ti pentirai di non averlo provato prima.,Vais arrepender-te de não ter gritado antes.,Spijt dat je nooit eerder hebt gegild.,Du kommer ångra att du inte skrek tidigare.,왜 진작 안 써봤나 후회하게 될 걸요.,你會後悔點解唔早啲試。,"Pożałujesz, że nie zrobiłaś tego wcześniej.",Spijt dat je niet eerder bent beginnen schreeuwen.,"Du vil fortryde, at du ikke skreg noget før.","Du wirst nur bereuen, dass du nicht schon früher geschrien hast.",Ní bheidh aiféala ort ach nár scread tú níos luaithe.,"Du wirst es nur bereuen, nicht früher geschrien zu haben.",Solo te arrepentirás de no haber gritado antes.,"Kadut vain sitä, ettet alkanut huutaa aiemmin.",Singurul regret e că nu ai început să țipi mai devreme.,"Budeš litovat jedině toho, že jsi nezačala křičet dřív.","Csak azt bánod majd, hogy nem kezdtél el korábban sikítani.",Žalit ćeš što nikad nisi vrištala.,"Ще съжаляваш, че не си крещяла по-рано.","Obžalovala boš, da nisi kričala že prej.","Gailėsies, kad nerėkei anksčiau.",Þú munt sjá eftir því að hafa aldrei öskrað áður.,"Kahetsed, et varem ei karjunud.",Você vai se arrepender de não ter gritado antes.,"Nožēlosi, ka nekliedzi jau agrāk.",
Ad 7,Zero to O in 30 seconds.,30秒で絶頂へ。,Von null auf ‚Oh mein Gott‘ in 30 Sekunden.,De zéro à « oh mon dieu » en 30 secondes.,De cero al orgasmo en 30 segundos.,Da zero all’orgasmo in 30 secondi.,Dos zero ao orgasmo em 30 segundos.,Van nul naar O in 30 seconden.,Från noll till O på 30 sekunder.,0에서 오르가즘까지 단 30초.,由零到高潮，只需30秒。,Od zera do O w 30 sekund.,Van nul naar orgasme in 30 seconden.,Fra nul til O på kun 30 sekunder.,Von null auf Höhepunkt in nur 30 Sekunden.,Ó náid go sásamh iomlán laistigh de 30 soicind.,Von Null auf Höhepunkt in nur 30 Sekunden.,De cero a orgasmo en solo 30 segundos.,Nollasta kliimaksiin vain 30 sekunnissa.,De la zero la extaz în doar 30 de secunde.,Z nuly na vrchol za pouhých 30 sekund.,Nulláról a csúcsra mindössze 30 másodperc alatt.,Od nule do “o moj Bože” u 30 sekundi.,От нула до оргазъм за 30 секунди.,Od nič do vrhunca v 30 sekundah.,Nuo nulio iki orgazmo per 30 sekundžių.,Frá núlli í unað á 30 sekúndum.,Nullist orgasmile 30 sekundiga.,De zero ao orgasmo em 30 segundos.,No nulles līdz orgasmam 30 sekundēs.,
,Curtis B. left a 5 star review,カーティス・B.さんが★5レビューを投稿,Curtis B. gab eine 5-Sterne-Bewertung ,Curtis B. a laissé un avis 5 étoiles,Curtis B. dejó una reseña de 5 estrellas,Curtis B. ha lasciato una recensione a 5 stelle,Curtis B. deixou uma review com 5 estrelas,Curtis B. gaf 5 sterren,Curtis B. gav fem stjärnor,Curtis B.가 남긴 ★★★★★ 후기,Curtis B. 留下五星好評,Curtis B. zostawił 5-gwiazdkową recenzję,Curtis B. liet een 5-sterren review achter.,Curtis B. har givet 5 stjerner.,Curtis B. vergibt 5 Sterne.,D'fhág Curtis B. léirmheas 5 réalta.,Curtis B. gibt 5 Sterne.,Curtis B. dejó una reseña de 5 estrellas.,Curtis B. jätti 5 tähden arvostelun.,Curtis B. a lăsat un review de 5 stele.,Curtis B. udělil 5 hvězdiček.,Curtis B. 5 csillagot adott rá.,Curtis B. dao 5 zvjezdica.,Къртис Б. даде 5 звезди.,Curtis B. je dal 5 zvezdic.,Curtis B. paliko 5 žvaigždučių atsiliepimą.,Curtis B. gaf 5 stjörnur.,Curtis B. andis 5 tärni.,Curtis B. deu 5 estrelas.,Kērtiss B. piešķīra 5 zvaigznes.,
